QSO1_SC_M,PCP_Z1,PAAC1_E,QSO1_G_P,PCP_PC,QSO1_SC_C,PCP_Z3,QSO1_SC_N,Labels
0.1273377207518583,0.576285014957846,0.2734982332155477,0.0,0.4307692307692308,0.0568481278448725,0.3716381418092909,0.1077113203876829,nonDRNA
0.224255480327636,0.5014957846070166,0.2628975265017668,0.0,0.382051282051282,0.0222516593621848,0.3823960880195599,0.1806707784554473,nonDRNA
0.2213673595000237,0.0641827576828936,0.0,0.0,0.082051282051282,0.0,0.3462102689486552,0.0534952111773523,nonDRNA
0.2026892666066947,0.5129181397878706,0.3024734982332155,0.0,0.3128205128205128,0.0371189808486351,0.4694376528117359,0.1205844995480083,nonDRNA
0.1248993892334643,0.5088387272232798,0.169964664310954,0.25,0.3999999999999999,0.0371753498400529,0.415158924205379,0.1106864551269581,RNA
0.1404763032053406,0.7299428882240958,0.0,0.0,0.9487179487179488,0.0,0.01320293398533,0.0679017290109965,RNA
0.2567586761990436,0.5871634484634212,0.3469964664310954,0.25,0.4230769230769231,0.0156705796141542,0.4078239608801956,0.0604638921628085,nonDRNA
0.1091094171677477,0.5156377481642643,0.3318021201413427,0.0,0.4205128205128205,0.0162342695283324,0.341320293398533,0.1120710370633131,nonDRNA
0.2073291984281047,0.4881697035626869,0.1883392226148409,0.0,0.3769230769230769,0.0411352714871549,0.4268948655256724,0.1224840086507764,nonDRNA
0.0515363855878036,0.5028555887952135,0.3385159010600707,0.0,0.3999999999999999,0.0,0.3149144254278729,0.0498335068828597,nonDRNA
0.0753515458548364,0.5635028555887952,0.2964664310954064,0.25,0.3794871794871794,0.0672763912571694,0.430317848410758,0.145690059617123,nonDRNA
0.1938828653946309,0.4422083220016317,0.3056537102473498,0.0,0.4179487179487179,0.0288609236059243,0.3716381418092909,0.1405751164307537,nonDRNA
0.0878509540267979,0.5025836279575742,0.2943462897526501,0.0,0.4051282051282051,0.0464903256718479,0.3398533007334964,0.1462736437390578,nonDRNA
0.08955541877752,0.5178134348653793,0.2901060070671378,0.25,0.3692307692307692,0.3020814250081031,0.5902200488997555,0.0721470174274238,nonDRNA
0.1389375503053832,0.5349469676366604,0.3183745583038869,0.0,0.4153846153846154,0.0827074026577979,0.3838630806845966,0.2238674463045393,nonDRNA
0.1558164859618389,0.5455534403045962,0.1508833922261483,0.0,0.2871794871794871,0.0511830442073815,0.5437652811735942,0.2337540478996693,nonDRNA
0.0981250887742057,0.531139515909709,0.2257950530035335,0.0,0.3564102564102564,0.0834401995462296,0.4596577017114915,0.1660010756256365,DNA
0.1768855641304862,0.5014957846070166,0.2731448763250883,0.0,0.3769230769230769,0.0095686362931751,0.380440097799511,0.1010515957020745,nonDRNA
0.1115240755646039,0.6624966004895295,0.1840989399293286,0.25,0.4230769230769231,0.0,0.4449877750611247,0.1886921994255701,DNA
0.1700677051275981,0.5308675550720696,0.1915194346289752,0.0,0.3153846153846154,0.0487450853285607,0.4792176039119804,0.2070464922017141,nonDRNA
0.0382084181620188,0.6353005167255915,0.1667844522968197,0.0,0.5641025641025641,0.0,0.2484107579462103,0.092366490828575,RNA
0.1339898679039818,0.4762034267065543,0.2522968197879858,0.0,0.4512820512820512,0.0,0.3227383863080685,0.1424975111853623,nonDRNA
0.1403579375976516,0.5504487353821049,0.1600706713780919,0.0,0.3487179487179487,0.031327066980454,0.415158924205379,0.1526587406025792,nonDRNA
