SER_A,SER_C,SER_D,SER_E,SER_F,SER_G,SER_H,SER_I,SER_K,SER_L,SER_M,SER_N,SER_P,SER_Q,SER_R,SER_S,SER_T,SER_V,SER_W,SER_Y,Labels
0.37773359840954274,0.7896749521988528,0.5530973451327433,0.44466019417475733,0.798004987531172,0.40943396226415096,0.5321637426900585,0.5302325581395348,0.4788461538461538,0.43921568627450985,0.6556962025316455,0.6039215686274509,0.6806387225548901,0.5226781857451404,0.4838056680161943,0.7433962264150943,0.5048543689320388,0.46756152125279643,0.41479099678456594,0.553072625698324,nonDRNA
0.5506958250497018,0.9158699808795412,0.5,0.45825242718446596,0.5236907730673317,0.41320754716981134,0.8216374269005848,0.29069767441860467,0.326923076923077,0.3784313725490196,0.5645569620253165,0.5254901960784314,0.6786427145708582,0.8358531317494601,0.694331983805668,0.5,0.629126213592233,0.4228187919463087,0.9196141479099678,0.5195530726256984,nonDRNA
0.3518886679920477,1.0,0.6460176991150444,1.0,0.2693266832917707,0.5188679245283019,1.0,0.31860465116279074,0.8153846153846155,0.13137254901960785,0.5949367088607596,0.8117647058823529,0.6806387225548901,0.5442764578833693,0.805668016194332,0.5188679245283019,0.8135922330097088,0.008948545861297548,0.4855305466237942,0.7318435754189945,nonDRNA
0.3956262425447316,0.8623326959847036,0.3960176991150442,0.4097087378640777,0.44389027431421446,0.4603773584905661,0.5526315789473685,0.30697674418604654,0.5423076923076924,0.4784313725490196,0.5645569620253165,0.6098039215686274,0.6207584830339321,0.7365010799136069,0.6700404858299595,0.609433962264151,0.5514563106796116,0.4049217002237136,0.9260450160771704,0.6284916201117318,nonDRNA
0.2862823061630219,0.8623326959847036,0.48672566371681414,0.5902912621359224,0.5910224438902744,0.5433962264150943,0.45029239766081874,0.5906976744186047,0.6384615384615385,0.45490196078431366,0.6911392405063291,0.6313725490196078,0.5369261477045909,0.5680345572354212,0.437246963562753,0.6679245283018869,0.5708737864077671,0.27293064876957496,0.6559485530546624,0.44134078212290495,RNA
0.30815109343936387,1.0,1.0,1.0,0.5087281795511222,0.5150943396226415,0.6491228070175439,1.0,0.3307692307692308,0.49607843137254903,0.5012658227848101,0.6137254901960785,0.7604790419161677,0.5745140388768899,0.0,0.5150943396226415,0.5009708737864078,0.4250559284116331,1.0,1.0,RNA
0.31013916500994043,0.9445506692160611,0.5464601769911505,0.3611650485436893,0.6209476309226933,0.6962264150943396,0.7543859649122807,0.5813953488372093,0.40192307692307694,0.5705882352941177,0.5670886075949367,0.8019607843137255,0.3033932135728543,0.42548596112311016,0.49190283400809715,0.5679245283018869,0.50873786407767,0.5234899328859061,0.7556270096463023,0.729050279329609,nonDRNA
0.46322067594433397,0.9311663479923519,0.4690265486725664,0.3786407766990291,0.4164588528678304,0.4811320754716981,0.7807017543859649,0.4720930232558139,0.3923076923076923,0.3274509803921568,0.7265822784810128,0.6372549019607843,0.7105788423153693,0.9222462203023759,0.5020242914979757,0.5471698113207547,0.5708737864077671,0.3266219239373602,0.797427652733119,0.6452513966480447,nonDRNA
0.6302186878727635,0.8413001912045889,0.3141592920353983,0.5611650485436894,0.57356608478803,0.4320754716981133,0.6432748538011697,0.32093023255813957,0.5,0.39215686274509803,0.529113924050633,0.5823529411764706,0.688622754491018,0.8207343412526997,0.5182186234817814,0.5509433962264151,0.7631067961165049,0.3266219239373602,0.8874598070739551,0.27374301675977647,nonDRNA
0.20079522862823057,1.0,0.41150442477876104,0.37087378640776697,0.6508728179551122,0.4849056603773585,0.7339181286549707,0.39999999999999997,0.5480769230769231,0.3098039215686275,0.8455696202531646,0.7960784313725491,0.7205588822355289,0.8034557235421166,0.3927125506072875,0.7132075471698113,0.7495145631067961,0.30201342281879195,0.707395498392283,0.547486033519553,nonDRNA
0.5606361829025845,0.7896749521988528,0.5973451327433629,0.41747572815533984,0.546134663341646,0.3849056603773585,0.5321637426900585,0.627906976744186,0.4788461538461538,0.27254901960784317,0.7949367088607595,0.5666666666666668,0.5968063872255489,0.6069114470842333,0.5910931174089068,0.5509433962264151,0.44466019417475733,0.6957494407158836,0.8488745980707396,0.38268156424581,nonDRNA
0.6401590457256462,0.8776290630975143,0.672566371681416,0.4058252427184466,0.34663341645885287,0.5056603773584906,0.3830409356725147,0.20232558139534876,0.34038461538461534,0.4,0.5417721518987342,0.5352941176470588,0.6387225548902196,0.5442764578833693,0.8704453441295547,0.6018867924528303,0.7126213592233009,0.41387024608501116,1.0,0.6927374301675978,nonDRNA
0.5705765407554673,0.8413001912045889,0.4601769911504425,0.41941747572815535,0.5910224438902744,0.4849056603773585,0.7807017543859649,0.3046511627906977,0.3730769230769231,0.3372549019607843,0.7696202531645571,0.5666666666666668,0.6726546906187624,0.7883369330453563,0.5627530364372471,0.5830188679245284,0.6097087378640776,0.3557046979865772,0.8778135048231512,0.4245810055865922,nonDRNA
0.3300198807157057,0.41300191204588915,0.6194690265486726,0.425242718446602,0.6608478802992519,0.5320754716981132,0.6023391812865497,0.7325581395348837,0.5230769230769231,0.44117647058823534,0.7645569620253165,0.7333333333333333,0.34730538922155685,0.7991360691144708,0.5263157894736842,0.7075471698113207,0.6330097087378641,0.29082774049217003,0.8745980707395499,0.4720670391061452,nonDRNA
0.5009940357852882,0.7304015296367112,0.5553097345132744,0.39223300970873787,0.7406483790523691,0.5264150943396226,0.6959064327485381,0.23255813953488366,0.275,0.42352941176470593,0.6430379746835443,0.3862745098039216,0.718562874251497,0.775377969762419,0.7894736842105263,0.620754716981132,0.7262135922330097,0.34228187919463093,0.8038585209003215,0.6061452513966481,nonDRNA
0.3797216699801193,0.8355640535372849,0.3539823008849558,0.6233009708737864,0.5286783042394015,0.4415094339622642,0.7719298245614035,0.5046511627906977,0.44230769230769235,0.6078431372549019,0.660759493670886,0.4352941176470589,0.5548902195608783,0.7257019438444925,0.7631578947368421,0.6226415094339622,0.4524271844660195,0.4049217002237136,0.5466237942122187,0.3994413407821229,nonDRNA
0.558648111332008,0.7705544933078394,0.4446902654867257,0.50873786407767,0.4239401496259352,0.690566037735849,0.6374269005847953,0.37906976744186044,0.49615384615384617,0.3627450980392157,0.7670886075949368,0.5588235294117647,0.5628742514970061,0.5550755939524837,0.5708502024291499,0.35660377358490564,0.5689320388349515,0.5190156599552573,0.8906752411575564,0.5726256983240223,DNA
0.34791252485089463,0.9579349904397705,0.5619469026548672,0.44466019417475733,0.5910224438902744,0.3452830188679246,0.5730994152046784,0.4372093023255814,0.45000000000000007,0.3862745098039216,0.6303797468354431,0.6784313725490195,0.6387225548902196,0.6652267818574514,0.6153846153846154,0.6584905660377359,0.6310679611650486,0.360178970917226,0.8263665594855306,0.44692737430167595,nonDRNA
0.3180914512922465,1.0,0.48672566371681414,0.5689320388349515,0.5960099750623441,0.34150943396226424,0.6403508771929824,0.6511627906976745,0.3980769230769231,0.5941176470588236,0.7417721518987342,0.5176470588235295,0.5369261477045909,0.6112311015118791,0.5506072874493928,0.45094339622641516,0.5786407766990292,0.35794183445190164,0.7234726688102894,0.835195530726257,DNA
