BTC_T,BTC_H,BTC_S,BTC_D,Labels
0.01726762912468345,0.017163530302605378,0.01719077215498608,0.01804167372522446,nonDRNA
0.0419028820185606,0.04290882575651345,0.04220317743332688,0.038878536337455534,nonDRNA
0.004284391807630808,0.0045432874330426,0.004280872322352209,0.004319837370828392,nonDRNA
0.04471068879249007,0.04498415458395266,0.044734695250670725,0.04446891411146874,nonDRNA
0.03301276901772667,0.03289676641332698,0.032884500550878465,0.03430459088599017,RNA
0.00232581269557101,0.0024960035897579717,0.002346489937006417,0.0021175673386413687,RNA
0.14755139357494243,0.1487085284796814,0.14859420862734543,0.13704895815686938,nonDRNA
0.054977927731491044,0.05597778837254957,0.055205591206129466,0.052685075385397254,nonDRNA
0.02720588797845563,0.027329837058642063,0.027165456976812642,0.02761307809588345,nonDRNA
0.041550949834362354,0.042418038533808225,0.04169014558330039,0.04014907674064035,nonDRNA
0.017076361633271364,0.016981237905600584,0.017005744274648658,0.017787565644587496,nonDRNA
0.010374348734191742,0.010544914042123566,0.010378382015290032,0.010333728612569879,nonDRNA
0.08024818869685632,0.08172308382645764,0.08072261797629961,0.07547009994917839,nonDRNA
0.023181619959145264,0.02296884202260426,0.023271461131529593,0.0222768084025072,nonDRNA
0.011231227095717904,0.011512465995456713,0.01132034213337146,0.010333728612569879,nonDRNA
0.1508258930279174,0.149409653083546,0.15010807310283344,0.15805522615619177,nonDRNA
0.1253414124721706,0.12568359648876798,0.12560028931632197,0.12273420294765373,DNA
0.04816880503722065,0.048868384889362536,0.048267045693476084,0.047179400304929696,nonDRNA
0.07073836902384723,0.07144459713380262,0.07094137139300763,0.068693884465526,DNA
0.13373422999533308,0.13308747230557816,0.133329408499508,0.1378112823987803,nonDRNA
0.012623654433197917,0.013040917631881538,0.012691230519507825,0.01194307978993732,RNA
0.02560689175025056,0.026053790279608493,0.025676823575916097,0.024902591902422496,nonDRNA
0.03962297352092849,0.040342709706369016,0.039806225347137535,0.03777740132136202,nonDRNA
0.06926943468980239,0.06988810051322321,0.06936863441013953,0.06827037099779773,nonDRNA
0.08625398792719594,0.08556524665563564,0.08600432292411334,0.08876842283584618,nonDRNA
0.043172898161536875,0.043301455534677624,0.04316195826780263,0.04328307640182958,nonDRNA
0.003175040357440688,0.0029166783520767313,0.0030866014583561113,0.004065729290191428,nonDRNA
0.07030227914342767,0.07108001233979303,0.07082362637824745,0.06505166864306285,nonDRNA
0.05526865431843742,0.05597778837254957,0.05553359517581854,0.0526003726918516,RNA
0.040518105380737066,0.040763384468687776,0.040680902599641716,0.038878536337455534,nonDRNA
0.06755567796675006,0.06743416439969711,0.06745948309938521,0.06852447907843469,nonDRNA
0.032416014444520955,0.03275654149255406,0.03243034120823206,0.03227172624089446,nonDRNA
0.050938358312867714,0.0519112656701349,0.05122749177887486,0.04802642724038624,nonDRNA
0.020083086598269413,0.020164343607145863,0.020075525016610456,0.02015924106386583,nonDRNA
0.020649238372849196,0.020669153321928372,0.02058855686663695,0.021260376079959342,nonDRNA
0.05140505099191321,0.05257032279776762,0.05170688219611273,0.048365238014568865,nonDRNA
0.06330188895774519,0.06263847210926325,0.06282537573275246,0.06810096561070642,nonDRNA
0.06577306494678939,0.06486804834955268,0.06571853895257398,0.06632220904624767,nonDRNA
0.024038498320671425,0.024357068738256164,0.02404521408566791,0.023970862273420296,nonDRNA
0.04031153649001201,0.0403707546905236,0.04025197433158678,0.04091140098255124,nonDRNA
0.1871896684951839,0.18749474156547102,0.18697067308096652,0.18939522276808402,nonDRNA
0.025530384753685725,0.02547886810443952,0.025458154262790054,0.026257834999152973,nonDRNA
0.06414346591995838,0.0657234203662675,0.0646167820287466,0.05937658817550398,nonDRNA
0.03016670874551478,0.03016238045825504,0.029999747689254085,0.031848212773166185,nonDRNA
0.00597519643171368,0.006183919006085762,0.006013406110966266,0.0055903777740132134,nonDRNA
0.03196462316478842,0.0318170345233755,0.03202664401476859,0.03133999661189226,nonDRNA
0.04443526360485667,0.04463359228202036,0.044373049848193034,0.04506183296628833,nonDRNA
0.028368794326241134,0.028900356171298762,0.02853634536294901,0.026681348466881246,nonDRNA
0.02573695364441078,0.025352665675743895,0.02551702677017014,0.02795188887006607,nonDRNA
0.05263681363660707,0.05335558235409597,0.05285910126912305,0.05039810265966458,nonDRNA
0.011912139365144942,0.01233979302801694,0.01200999150553822,0.010926647467389463,RNA
0.061404515442937256,0.06167092015593011,0.06147971842120756,0.0606471285786888,nonDRNA
0.054373522458628844,0.054210954370810784,0.05432250359542813,0.05488734541758428,nonDRNA
0.013557039791288913,0.013671929775359677,0.0135490870556177,0.013637133660850415,nonDRNA
0.042384876096919065,0.04248815099419469,0.04240502603005862,0.04218194138573607,nonDRNA
0.050112082749967486,0.05091566873264717,0.050319173093582054,0.04802642724038624,nonDRNA
0.04891092290389956,0.04877022744482149,0.04898192614023431,0.04819583262747756,nonDRNA
0.03579762369268669,0.036654794290041225,0.03602997451661466,0.03345756395053363,nonDRNA
0.015446762606440359,0.015550943713716802,0.015416186575386246,0.015754700999491784,RNA
0.06337074525465354,0.06324143926858682,0.06322066256801877,0.06488226325597155,nonDRNA
0.04032683788932498,0.040945676865692573,0.04046223328651567,0.038963239031001184,nonDRNA
0.040877688264591795,0.040735339484533194,0.04098367549473932,0.03981026596645773,DNA
0.4295561829129274,0.4348374793168242,0.43258677387069916,0.39903438929357954,nonDRNA
0.026838654394944417,0.027484084471492275,0.027022480887461,0.024987294595968153,RNA
0.03802397729272342,0.03790279608492021,0.03797276726015761,0.03853972556327291,nonDRNA
0.026218947722769247,0.025717250469753483,0.0259039032472393,0.0293918346603422,nonDRNA
0.029669413267843343,0.029909975600863784,0.02982313016711382,0.028121294257157377,nonDRNA
0.018491741069720825,0.01881818436772583,0.01855325018292529,0.017872268338133154,nonDRNA
0.023089811563267462,0.02291275205429509,0.022918226087249055,0.024817889208876842,nonDRNA
0.10332269886081082,0.1046779033569846,0.10369971657092876,0.09952566491614433,RNA
0.047862777050961314,0.04830748520627086,0.04798950387296995,0.046586481450110115,nonDRNA
0.05148155798847805,0.05136438847912051,0.05103405354034028,0.05598848043367779,nonDRNA
0.04001315920340915,0.039851922483663794,0.03984827713812331,0.04167372522446214,nonDRNA
0.04053340678005003,0.040959699357769865,0.040689312957838876,0.038963239031001184,nonDRNA
0.050219192545158255,0.0499901842555459,0.050033220914878766,0.05209215653057767,nonDRNA
0.12257950989618001,0.1251367192977536,0.12360703442359611,0.11223106894799255,nonDRNA
0.019800010710979518,0.02029054603584149,0.01994095928545597,0.01838048449940708,nonDRNA
0.011491350884038345,0.011582578455843172,0.01151378037190604,0.011265458241572083,nonDRNA
0.026042981630670124,0.025563003056903275,0.025794568590676276,0.02854480772488565,nonDRNA
0.10705624029317481,0.1064307148666461,0.1069124734022422,0.10850415043198373,nonDRNA
0.014559281446288264,0.014288919426760523,0.014415353949924728,0.01600880908012875,nonDRNA
0.017099313732240815,0.016939170429368707,0.016988923558254345,0.018211079112315773,nonDRNA
0.041329079544324326,0.04191322881902572,0.04142101412099141,0.04040318482127732,nonDRNA
0.02878958280734773,0.02867599629806209,0.028712962885089274,0.029561240047433508,nonDRNA
0.047097707085312954,0.04830748520627086,0.04749329273933777,0.043113671014738265,nonDRNA
0.16137620785420828,0.16134279384132147,0.16168072598211958,0.15830933423682872,nonDRNA
0.02882783630563015,0.028269344027820623,0.02849429357196323,0.03218702354734881,nonDRNA
0.02722884007742508,0.027203634629946433,0.027157046618615486,0.02795188887006607,nonDRNA
0.02504839067532726,0.02526853072328014,0.025138560651298138,0.024140267660511604,nonDRNA
0.08084494327006204,0.08159688139776201,0.08121882910993179,0.07707945112654582,nonDRNA
0.03113069690223171,0.031746922062989034,0.03126971177702458,0.02973064543452482,nonDRNA
0.0712662673001446,0.07084162997447907,0.07108434748235927,0.07309842452990005,nonDRNA
0.03977598751405816,0.03930504529264941,0.039461400661054157,0.04294426562764696,nonDRNA
0.08098265586387875,0.08060128446027429,0.08078990084187686,0.082923936981196,nonDRNA
0.06810652834201687,0.06810724401940713,0.06811549103876334,0.06801626291716077,nonDRNA
0.0712203631022057,0.0718372269119668,0.07136188930286541,0.06979501948161952,nonDRNA
0.06480142609041596,0.06476989090501165,0.06465042346153523,0.06632220904624767,nonDRNA
0.028797233507004215,0.028577838853521047,0.028620448944920565,0.030577672369981365,nonDRNA
0.04272915758146083,0.04292284824859074,0.04269938856695907,0.043028968321192615,nonDRNA
0.054151652168590816,0.052738592702695125,0.053624443865064216,0.05946129086904964,nonDRNA
