ATC_C,ATC_H,ATC_N,ATC_O,ATC_S,Labels
0.598181818181818,0.34351145038167946,0.4856596558317401,0.5173210161662818,0.12307692307692307,nonDRNA
0.5800000000000002,0.35419847328244286,0.6653919694072655,0.3094688221709009,0.11282051282051282,nonDRNA
0.8254545454545453,0.1343511450381678,0.8393881453154882,0.13394919168591227,0.08717948717948719,nonDRNA
0.6127272727272729,0.4244274809160305,0.5124282982791589,0.3371824480369517,0.12820512820512822,nonDRNA
0.647272727272727,0.3190839694656489,0.4856596558317401,0.5034642032332565,0.09230769230769231,RNA
0.3127272727272725,0.05343511450381675,0.7533460803059273,1.0,0.11282051282051282,RNA
0.5563636363636362,0.38320610687022905,0.544933078393882,0.445727482678984,0.10769230769230768,nonDRNA
0.6109090909090908,0.3404580152671754,0.6214149139579354,0.3648960739030023,0.061538461538461535,nonDRNA
0.6527272727272727,0.34503816793893133,0.546845124282983,0.3602771362586606,0.1435897435897436,nonDRNA
0.5800000000000002,0.3297709923664123,0.6347992351816448,0.420323325635104,0.025641025641025644,nonDRNA
0.6236363636363635,0.4076335877862596,0.4760994263862339,0.4133949191685912,0.08717948717948719,nonDRNA
0.6854545454545454,0.28091603053435116,0.6233269598470363,0.3302540415704389,0.12820512820512822,nonDRNA
0.6036363636363636,0.33740458015267166,0.6481835564053542,0.34180138568129337,0.07692307692307693,nonDRNA
0.5690909090909089,0.34809160305343506,0.5391969407265779,0.4064665127020787,0.2871794871794872,nonDRNA
0.5309090909090906,0.3465648854961832,0.6806883365200773,0.351039260969977,0.14871794871794872,nonDRNA
0.6799999999999997,0.44274809160305356,0.41491395793499103,0.3533487297921479,0.10769230769230768,nonDRNA
0.6181818181818179,0.3954198473282443,0.5162523900573622,0.3856812933025406,0.09743589743589744,DNA
0.6090909090909087,0.34961832061068693,0.5927342256214155,0.3810623556581987,0.08717948717948719,nonDRNA
0.4709090909090909,0.43969465648854955,0.5086042065009557,0.5357967667436491,0.05128205128205129,DNA
0.6381818181818179,0.39083969465648843,0.451242829827916,0.4411085450346421,0.10769230769230768,nonDRNA
0.3763636363636364,0.2977099236641221,0.6596558317399627,0.702078521939954,0.020512820512820513,RNA
0.6745454545454547,0.3083969465648855,0.640535372848949,0.3117782909930717,0.061538461538461535,nonDRNA
0.5181818181818177,0.418320610687023,0.5946462715105165,0.38337182448036955,0.09230769230769231,nonDRNA
0.5818181818181817,0.3572519083969466,0.5411089866156787,0.45958429561200925,0.09743589743589744,nonDRNA
0.6527272727272727,0.4030534351145037,0.4340344168260033,0.420323325635104,0.11282051282051282,nonDRNA
0.6272727272727271,0.34503816793893133,0.5200764818355641,0.47113163972286376,0.041025641025641026,nonDRNA
0.7290909090909087,0.531297709923664,0.3326959847036335,0.18706697459584307,0.26153846153846155,nonDRNA
0.5381818181818183,0.4305343511450383,0.5640535372848957,0.36951501154734423,0.11282051282051282,nonDRNA
0.5363636363636363,0.3419847328244276,0.5850860420650104,0.47575057736720566,0.11794871794871796,RNA
0.598181818181818,0.38015267175572526,0.5411089866156787,0.39722863741339504,0.10769230769230768,nonDRNA
0.6690909090909091,0.33740458015267166,0.49330783938814526,0.4411085450346421,0.08717948717948719,nonDRNA
0.6781818181818182,0.34809160305343506,0.5774378585086037,0.30023094688221724,0.11282051282051282,nonDRNA
0.549090909090909,0.35877862595419846,0.6309751434034415,0.3949191685912242,0.08205128205128205,nonDRNA
0.6763636363636362,0.3526717557251907,0.5621414913957934,0.3071593533487298,0.12307692307692307,nonDRNA
0.7036363636363638,0.33435114503816793,0.544933078393882,0.3117782909930717,0.15384615384615385,nonDRNA
0.4600000000000002,0.39999999999999997,0.617590822179732,0.466512702078522,0.0717948717948718,nonDRNA
0.7163636363636366,0.3969465648854962,0.4225621414913962,0.3787528868360278,0.08205128205128205,nonDRNA
0.450909090909091,0.48244274809160315,0.34799235181644383,0.6581986143187066,0.12307692307692307,nonDRNA
0.6527272727272727,0.3404580152671754,0.5889101338432122,0.34411085450346424,0.08205128205128205,nonDRNA
0.6454545454545456,0.4137404580152671,0.49521988527724625,0.3741339491916859,0.041025641025641026,nonDRNA
0.6090909090909087,0.4870229007633588,0.46462715105162544,0.34180138568129337,0.05128205128205129,nonDRNA
0.6872727272727275,0.30534351145038174,0.5162523900573622,0.4249422632794459,0.11282051282051282,nonDRNA
0.5036363636363635,0.40152671755725183,0.644359464627151,0.3787528868360278,0.07692307692307693,nonDRNA
0.5472727272727269,0.4702290076335879,0.4359464627151056,0.4387990762124712,0.1435897435897436,nonDRNA
0.5472727272727269,0.34809160305343506,0.701720841300192,0.33487297921478065,0.0717948717948718,nonDRNA
0.6309090909090908,0.3038167938931299,0.5200764818355641,0.49884526558891457,0.10256410256410257,nonDRNA
0.6072727272727273,0.4091603053435115,0.5028680688336528,0.3903002309468823,0.11282051282051282,nonDRNA
0.5018181818181815,0.500763358778626,0.5717017208413009,0.3094688221709009,0.09230769230769231,nonDRNA
0.7345454545454544,0.39847328244274804,0.4091778202676868,0.36258660508083146,0.10256410256410257,nonDRNA
0.5436363636363634,0.41068702290076337,0.5640535372848957,0.39722863741339504,0.09743589743589744,nonDRNA
0.43999999999999967,0.33435114503816793,0.6959847036328877,0.5196304849884527,0.020512820512820513,RNA
0.6090909090909087,0.3786259541984731,0.5296367112810703,0.40415704387990764,0.10256410256410257,nonDRNA
0.6727272727272726,0.33893129770992353,0.4971319311663486,0.420323325635104,0.10769230769230768,nonDRNA
0.6145454545454544,0.3068702290076336,0.5602294455066924,0.4688221709006929,0.10256410256410257,nonDRNA
0.6000000000000001,0.3755725190839694,0.5009560229445504,0.4642032332563512,0.08205128205128205,nonDRNA
0.5872727272727274,0.32671755725190826,0.6099426386233269,0.41570438799076226,0.09743589743589744,nonDRNA
0.5236363636363635,0.41679389312977083,0.4493307839388151,0.5496535796766745,0.10769230769230768,nonDRNA
0.5454545454545454,0.3847328244274809,0.6500956022944552,0.33949191685912256,0.08205128205128205,nonDRNA
0.5345454545454548,0.4351145038167939,0.5124282982791589,0.4480369515011548,0.07692307692307693,RNA
0.7509090909090907,0.24274809160305344,0.5411089866156787,0.40415704387990764,0.12820512820512822,nonDRNA
0.6054545454545451,0.34503816793893133,0.5984703632887198,0.3995381062355659,0.05128205128205129,nonDRNA
0.5563636363636362,0.34809160305343506,0.49330783938814526,0.5588914549653582,0.10769230769230768,DNA
0.5618181818181818,0.3755725190839694,0.5965583173996175,0.38337182448036955,0.11794871794871796,nonDRNA
0.570909090909091,0.2610687022900762,0.6921606118546845,0.4411085450346421,0.08717948717948719,RNA
0.5381818181818183,0.41679389312977083,0.4703632887189297,0.4965357967667437,0.12820512820512822,nonDRNA
0.7581818181818178,0.3557251908396947,0.3690248565965585,0.45034642032332567,0.08717948717948719,nonDRNA
0.4618181818181817,0.3557251908396947,0.5717017208413009,0.5588914549653582,0.13333333333333333,nonDRNA
0.6290909090909093,0.3282442748091604,0.6195028680688344,0.3325635103926098,0.13333333333333333,nonDRNA
0.647272727272727,0.4076335877862596,0.43977055449330754,0.4295612009237876,0.08205128205128205,nonDRNA
0.6309090909090908,0.3068702290076336,0.5927342256214155,0.4387990762124712,0.0358974358974359,RNA
0.6454545454545456,0.3526717557251907,0.583173996175908,0.325635103926097,0.11794871794871796,nonDRNA
0.6490909090909092,0.49618320610687033,0.4244741873804972,0.34411085450346424,0.015384615384615384,nonDRNA
0.7654545454545456,0.30992366412213734,0.5066921606118547,0.3371824480369517,0.10256410256410257,nonDRNA
0.5127272727272728,0.418320610687023,0.5411089866156787,0.45958429561200925,0.08205128205128205,nonDRNA
0.718181818181818,0.37251908396946565,0.4780114722753349,0.3533487297921479,0.0717948717948718,nonDRNA
0.5363636363636363,0.3603053435114503,0.6462715105162533,0.3856812933025406,0.09743589743589744,nonDRNA
0.5800000000000002,0.3358778625954198,0.6615678776290637,0.3648960739030023,0.061538461538461535,nonDRNA
0.5254545454545455,0.3862595419847328,0.5391969407265779,0.4688221709006929,0.1435897435897436,nonDRNA
0.6563636363636363,0.4763358778625954,0.3690248565965585,0.376443418013857,0.13846153846153847,nonDRNA
0.5418181818181819,0.5282442748091603,0.3862332695984698,0.4526558891454967,0.061538461538461535,nonDRNA
0.7018181818181817,0.41526717557251897,0.43212237093690237,0.3325635103926098,0.13846153846153847,nonDRNA
0.6327272727272728,0.5557251908396945,0.40152963671128156,0.27482678983833725,0.0717948717948718,nonDRNA
0.5818181818181817,0.3190839694656489,0.5850860420650104,0.48498845265588925,0.05128205128205129,nonDRNA
0.5599999999999997,0.4564885496183207,0.4455066921606118,0.45496535796766757,0.09230769230769231,nonDRNA
0.4927272727272729,0.4488549618320611,0.6367112810707457,0.3464203233256351,0.0358974358974359,nonDRNA
0.6090909090909087,0.35877862595419846,0.5086042065009557,0.45958429561200925,0.10769230769230768,nonDRNA
0.7381818181818179,0.4061068702290077,0.37284894837476174,0.3787528868360278,0.12307692307692307,nonDRNA
0.6254545454545457,0.33435114503816793,0.5086042065009557,0.47575057736720566,0.10769230769230768,nonDRNA
0.5163636363636364,0.40152671755725183,0.5640535372848957,0.4133949191685912,0.1794871794871795,nonDRNA
0.6036363636363636,0.30992366412213734,0.5946462715105165,0.43648960739030035,0.10256410256410257,nonDRNA
